startDate,startTime,A,stopDate,stopTime,P
09-01-2018,02:49:06,PM,09-02-2018,02:49:06,AM
09-01-2018,02:28:52,PM,09-01-2018,05:39:22,PM
8/31/2018,07:25:28,PM,09-01-2018,12:28:02,AM
8/31/2018,03:19:01,PM,09-01-2018,12:36:54,AM
8/31/2018,03:14:21,PM,8/31/2018,07:10:56,PM
8/30/2018,10:15:36,PM,8/31/2018,12:40:34,AM
8/30/2018,10:03:47,PM,8/31/2018,12:36:39,AM
8/30/2018,11:26:42,AM,8/30/2018,09:01:47,PM
8/30/2018,09:50:48,AM,8/30/2018,08:38:55,PM
8/29/2018,09:56:36,PM,8/30/2018,01:52:43,AM
8/29/2018,09:49:08,AM,8/29/2018,09:49:08,PM
8/29/2018,09:34:14,AM,8/29/2018,09:34:14,PM
8/28/2018,11:00:44,PM,8/29/2018,01:02:14,AM
8/28/2018,10:02:21,PM,8/29/2018,02:00:16,AM
8/28/2018,10:59:12,AM,8/28/2018,10:59:12,PM
8/28/2018,09:34:25,AM,8/28/2018,09:34:26,PM
8/27/2018,12:18:43,PM,8/28/2018,12:18:43,AM
8/27/2018,11:37:21,AM,8/27/2018,11:37:21,PM
8/25/2018,11:54:20,AM,8/25/2018,09:32:04,PM
8/25/2018,11:39:19,AM,8/25/2018,09:29:00,PM
8/24/2018,10:49:47,AM,8/24/2018,10:20:48,PM
8/24/2018,09:34:32,AM,8/24/2018,09:34:32,PM
8/23/2018,01:47:21,PM,8/24/2018,01:16:50,AM
8/23/2018,12:10:09,PM,8/24/2018,12:10:09,AM
8/22/2018,11:32:28,PM,8/23/2018,02:36:17,AM
8/22/2018,11:23:48,PM,8/23/2018,02:29:48,AM
8/22/2018,12:45:02,PM,8/22/2018,11:21:43,PM
8/22/2018,10:51:42,AM,8/22/2018,10:38:02,PM
8/21/2018,09:40:25,PM,8/22/2018,01:08:49,AM
8/21/2018,09:33:22,PM,8/22/2018,01:03:42,AM
8/21/2018,09:26:02,AM,8/21/2018,09:26:02,PM
8/21/2018,09:25:46,AM,8/21/2018,09:25:46,PM
8/20/2018,10:18:27,PM,8/21/2018,01:40:08,AM
8/20/2018,10:12:59,PM,8/21/2018,01:38:51,AM
8/20/2018,10:09:04,AM,8/20/2018,10:09:04,PM
8/20/2018,10:06:05,AM,8/20/2018,10:06:05,PM
8/18/2018,10:02:27,AM,8/18/2018,10:02:27,PM
8/18/2018,09:41:02,AM,8/18/2018,09:41:02,PM
8/17/2018,11:45:39,PM,8/18/2018,02:42:41,AM
8/17/2018,11:22:23,PM,8/18/2018,02:39:16,AM
8/17/2018,11:41:12,AM,8/17/2018,11:41:12,PM
8/17/2018,11:20:25,AM,8/17/2018,11:20:25,PM
8/16/2018,11:46:15,AM,8/16/2018,11:15:45,PM
8/16/2018,10:25:41,AM,8/16/2018,10:25:41,PM
8/14/2018,12:06:20,PM,8/14/2018,08:01:01,PM
8/14/2018,11:44:37,AM,8/14/2018,09:54:51,PM
8/13/2018,11:53:19,AM,8/13/2018,10:27:22,PM
8/13/2018,10:43:30,AM,8/13/2018,10:25:04,PM
08-11-2018,10:26:02,AM,08-11-2018,07:21:31,PM
08-11-2018,10:11:17,AM,08-11-2018,09:38:23,PM
08-10-2018,10:15:23,PM,08-11-2018,03:21:20,AM
08-10-2018,10:03:14,PM,08-11-2018,03:10:05,AM
08-10-2018,10:12:11,AM,08-10-2018,10:12:11,PM
08-10-2018,10:02:13,AM,08-10-2018,10:02:13,PM
08-10-2018,12:01:25,AM,08-10-2018,03:34:14,AM
08-09-2018,10:04:34,PM,08-10-2018,03:32:11,AM
08-09-2018,12:00:51,PM,08-10-2018,12:00:51,AM
08-09-2018,09:28:33,AM,08-09-2018,09:21:42,PM
08-09-2018,12:45:51,AM,08-09-2018,03:46:05,AM
08-09-2018,12:44:41,AM,08-09-2018,03:49:10,AM
08-08-2018,11:51:36,AM,08-08-2018,10:25:24,PM
08-08-2018,09:55:51,AM,08-08-2018,09:55:51,PM
08-07-2018,01:18:16,PM,08-07-2018,10:13:12,PM
08-07-2018,12:57:40,PM,08-07-2018,10:10:49,PM
08-06-2018,10:08:06,AM,08-06-2018,12:07:47,PM
08-06-2018,10:05:00,AM,08-06-2018,12:07:47,PM
08-04-2018,10:58:50,AM,08-04-2018,09:14:56,PM
08-04-2018,10:14:11,AM,08-04-2018,09:09:41,PM
08-03-2018,09:24:22,AM,08-03-2018,09:24:22,PM
08-03-2018,09:23:59,AM,08-03-2018,09:23:59,PM
08-02-2018,10:56:53,PM,08-03-2018,01:51:27,AM
08-02-2018,10:40:45,PM,08-03-2018,01:35:25,AM
08-02-2018,10:47:18,AM,08-02-2018,10:47:18,PM
08-01-2018,10:37:44,PM,08-02-2018,12:53:21,AM
08-01-2018,10:06:31,PM,08-02-2018,12:39:21,AM
08-01-2018,10:32:34,AM,08-01-2018,10:32:34,PM
08-01-2018,10:05:52,AM,08-01-2018,10:05:52,PM
